Periodo,Carrera,Jornada,Edad,Monto Aporte
P65,Educación,Nocturna,38,"598,09"
P63,Enfermería,Matutina,34,"939,04"
P63,Administración,Nocturna,20,"992,11"
P66,Software,Matutina,25,"1791,80"
P63,Contabilidad,Nocturna,19,"952,05"
P64,Enfermería,Nocturna,22,"1607,15"
P65,Contabilidad,Matutina,21,"1691,73"
P64,Enfermería,Matutina,35,"1958,08"
P63,Contabilidad,Matutina,33,"1893,68"
P66,Enfermería,Nocturna,36,"1428,46"
P65,Educación,Matutina,40,"999,10"
P65,Contabilidad,Nocturna,28,"1993,57"
P65,Contabilidad,Matutina,21,"1548,53"
P64,Enfermería,Matutina,33,"1363,05"
P63,Contabilidad,Nocturna,28,"1923,44"
P66,Contabilidad,Nocturna,20,"691,34"
P66,Software,Matutina,41,"1936,39"
P66,Enfermería,Nocturna,39,"1210,02"
P66,Enfermería,Matutina,37,"739,63"
P63,Educación,Nocturna,22,"1007,50"
P66,Administración,Matutina,23,"1419,51"
P65,Educación,Nocturna,35,"1070,90"
P66,Enfermería,Nocturna,25,"809,10"
P64,Educación,Matutina,39,"977,01"
P66,Contabilidad,Matutina,26,"1077,00"
P64,Administración,Nocturna,37,"1659,40"
P64,Contabilidad,Matutina,32,"1893,71"
P66,Administración,Nocturna,30,"712,61"
P66,Software,Matutina,20,"927,56"
P64,Software,Nocturna,37,"607,13"
P63,Contabilidad,Matutina,35,"707,46"
P63,Software,Matutina,37,"1270,19"
P65,Enfermería,Nocturna,33,"751,14"
P66,Administración,Nocturna,33,"1138,10"
P64,Software,Nocturna,41,"1042,61"
P64,Contabilidad,Matutina,24,"1581,46"
P64,Contabilidad,Matutina,42,"1581,38"
P63,Enfermería,Nocturna,23,"1228,98"
P64,Contabilidad,Nocturna,38,"956,78"
P64,Educación,Nocturna,41,"964,25"
P66,Enfermería,Matutina,18,"1072,60"
P65,Educación,Nocturna,32,"1980,44"
P65,Software,Matutina,21,"964,60"
P64,Enfermería,Matutina,33,"1778,78"
P63,Administración,Nocturna,38,"673,84"
P63,Administración,Matutina,33,"865,55"
P65,Software,Nocturna,32,"1322,95"
P63,Educación,Matutina,22,"556,19"
P66,Educación,Nocturna,39,"1217,19"
P64,Software,Matutina,41,"1830,13"
P64,Administración,Matutina,24,"557,32"
P64,Enfermería,Matutina,42,"1701,41"
P65,Contabilidad,Nocturna,22,"624,94"
P65,Administración,Nocturna,34,"767,68"
P64,Contabilidad,Matutina,32,"875,77"
P63,Educación,Matutina,22,"1469,79"
P63,Contabilidad,Matutina,28,"1897,66"
P66,Software,Matutina,25,"891,35"
P63,Software,Nocturna,35,"557,97"
P63,Administración,Nocturna,37,"1535,77"
P64,Enfermería,Nocturna,34,"1592,61"
P64,Contabilidad,Nocturna,35,"914,57"
P64,Administración,Matutina,30,"1405,40"
P63,Educación,Nocturna,20,"935,85"
P65,Software,Matutina,40,"1817,84"
P65,Educación,Nocturna,22,"1457,28"
P63,Administración,Nocturna,23,"1867,28"
P64,Administración,Nocturna,28,"1362,25"
P65,Enfermería,Matutina,41,"1249,02"
P65,Contabilidad,Nocturna,32,"1940,02"
P66,Enfermería,Nocturna,34,"631,14"
P64,Software,Matutina,26,"1056,05"
P64,Enfermería,Matutina,31,"1884,33"
P66,Educación,Nocturna,40,"1169,11"
P65,Software,Matutina,31,"648,34"
P63,Software,Nocturna,20,"1745,28"
P63,Enfermería,Matutina,32,"523,43"
P66,Enfermería,Matutina,19,"1579,90"
P64,Software,Matutina,26,"603,23"
P64,Enfermería,Nocturna,34,"921,37"
